                                                    Concept  PeriodEnd                                                                                                                                                                                                                                             Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                                                                                                                                                   9.419300e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                                                                                                                                                   8.882100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                                                                                                                                   8.515900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                      srt:ProductOrServiceAxis:jnj:DARZALEXMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.744000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                             srt:ProductOrServiceAxis:jnj:ErleadaMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.453000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                             srt:ProductOrServiceAxis:jnj:ErleadaMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.282000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                             srt:ProductOrServiceAxis:jnj:ErleadaMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.065000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                    srt:ProductOrServiceAxis:jnj:ErleadaMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.121000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                    srt:ProductOrServiceAxis:jnj:ErleadaMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.717000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                    srt:ProductOrServiceAxis:jnj:ErleadaMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.322000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                       srt:ProductOrServiceAxis:jnj:ErleadaMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.574000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                       srt:ProductOrServiceAxis:jnj:ErleadaMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.999000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                       srt:ProductOrServiceAxis:jnj:ErleadaMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.387000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                           srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.920000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                           srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.020000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                           srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.051000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                  srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.931000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                  srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.018000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                  srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.214000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                     srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.823000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                     srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.038000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                     srt:ProductOrServiceAxis:jnj:IMBRUVICAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.264000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                   srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.340000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                   srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.570000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                   srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                          srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.000000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                          srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.000000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                          srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.700000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                             srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.340000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                             srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.270000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                             srt:ProductOrServiceAxis:jnj:RYBREVANTLAZCLUZEMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.300000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                              srt:ProductOrServiceAxis:jnj:TALVEYMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.400000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                              srt:ProductOrServiceAxis:jnj:TALVEYMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.410000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                              srt:ProductOrServiceAxis:jnj:TALVEYMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                     srt:ProductOrServiceAxis:jnj:TALVEYMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.230000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                     srt:ProductOrServiceAxis:jnj:TALVEYMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                     srt:ProductOrServiceAxis:jnj:TALVEYMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                        srt:ProductOrServiceAxis:jnj:TALVEYMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.630000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                        srt:ProductOrServiceAxis:jnj:TALVEYMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.870000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                        srt:ProductOrServiceAxis:jnj:TALVEYMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.300000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                srt:ProductOrServiceAxis:jnj:TECVAYLIMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  4.440000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                srt:ProductOrServiceAxis:jnj:TECVAYLIMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  4.180000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                srt:ProductOrServiceAxis:jnj:TECVAYLIMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  3.340000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                       srt:ProductOrServiceAxis:jnj:TECVAYLIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  2.260000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                       srt:ProductOrServiceAxis:jnj:TECVAYLIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  1.310000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                       srt:ProductOrServiceAxis:jnj:TECVAYLIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  6.100000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                          srt:ProductOrServiceAxis:jnj:TECVAYLIMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  6.700000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                          srt:ProductOrServiceAxis:jnj:TECVAYLIMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  5.490000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                          srt:ProductOrServiceAxis:jnj:TECVAYLIMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:PharmaceuticalMember  3.950000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                              srt:ProductOrServiceAxis:jnj:ZYTIGAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.300000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                              srt:ProductOrServiceAxis:jnj:ZYTIGAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.400000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                              srt:ProductOrServiceAxis:jnj:ZYTIGAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.000000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                     srt:ProductOrServiceAxis:jnj:ZYTIGAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.800000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                     srt:ProductOrServiceAxis:jnj:ZYTIGAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.970000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                     srt:ProductOrServiceAxis:jnj:ZYTIGAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.370000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                        srt:ProductOrServiceAxis:jnj:ZYTIGAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.020000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                        srt:ProductOrServiceAxis:jnj:ZYTIGAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.310000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                        srt:ProductOrServiceAxis:jnj:ZYTIGAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.870000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                       srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.140000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                       srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.450000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                       srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.300000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                              srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.620000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                              srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.720000e+08
